Sat Sep  7 00:00:01 2017
8632.19	1.20	12.03
1384	13.04	6.67	13.09	13.00	0.01	1.10	1.11	11.77
1389	13.04	6.67	13.09	13.00	0.00	1.14	1.15	11.78
1394	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.77
1399	13.04	6.67	13.09	13.00	0.01	1.12	1.15	11.76
1404	13.03	6.67	13.09	12.99	0.00	1.28	1.30	11.76
1409	13.04	6.67	13.09	12.99	0.01	1.25	1.28	11.75
1414	13.04	6.67	13.09	13.00	0.01	1.17	1.18	11.75
1419	13.04	6.67	13.09	12.99	0.00	1.27	1.29	11.77
1424	13.04	6.67	13.09	13.00	0.01	1.16	1.17	11.77
1429	13.04	6.67	13.09	13.00	0.01	1.14	1.17	11.77
1434	13.04	6.67	13.09	12.99	0.01	1.23	1.25	11.77
1439	13.04	6.67	13.09	13.00	0.01	1.11	1.14	11.76
1444	13.04	6.67	13.09	13.00	0.00	1.14	1.16	11.75
1449	13.04	6.67	13.09	13.00	0.00	1.14	1.19	11.75
1454	13.04	6.67	13.09	12.99	0.01	1.24	1.25	11.75
1459	13.04	6.67	13.09	12.99	0.00	1.25	1.25	11.75
1464	13.04	6.67	13.09	12.99	0.01	1.23	1.23	11.75
1469	13.04	6.67	13.09	13.00	0.01	1.09	1.11	11.75
1474	13.04	6.67	13.09	12.99	0.00	1.19	1.23	11.74
1479	13.04	6.67	13.09	13.00	0.01	1.15	1.16	11.75
1484	13.04	6.67	13.09	13.00	0.01	1.11	1.15	11.76
1489	13.04	6.67	13.09	12.99	0.00	1.19	1.22	11.74
1494	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.74
1499	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.75
1504	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.74
1509	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.74
1514	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.73
1519	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.75
1524	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.73
1529	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.73
1534	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.75
1539	13.04	6.67	13.09	12.99	0.01	1.19	1.21	11.75
1544	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.73
1549	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.73
1554	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.73
1559	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.74
1564	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.73
1569	13.04	6.67	13.09	12.99	0.00	1.21	1.23	11.73
1574	13.04	6.67	13.09	13.00	0.00	1.12	1.16	11.73
1579	13.03	6.67	13.09	12.98	0.00	1.29	1.32	11.71
1584	13.04	6.67	13.09	13.00	0.01	1.15	1.15	11.73
1589	13.04	6.67	13.09	12.99	0.00	1.19	1.21	11.72
1594	13.04	6.67	13.09	13.00	0.01	1.06	1.10	11.73
1599	13.04	6.67	13.09	12.99	0.01	1.20	1.22	11.73
1604	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.72
1609	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.71
1614	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.72
1619	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.69
1624	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.70
1629	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.70
1634	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.70
1639	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.70
1644	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.70
1649	13.04	6.67	13.09	12.99	0.00	1.18	1.19	11.70
1654	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.69
1659	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.70
1664	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.70
1669	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.69
1674	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.69
1679	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.69
1684	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.69
1689	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.69
1694	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.68
1699	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.68
1704	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.66
1709	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.68
1714	13.04	6.67	13.09	12.99	0.01	1.19	1.21	11.68
1719	13.04	6.67	13.09	12.99	0.01	1.21	1.22	11.68
1724	13.04	6.67	13.09	12.99	0.01	1.15	1.19	11.68
1729	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.67
1734	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.68
1739	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.68
1744	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.67
1749	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.66
1754	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.66
1759	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.67
1764	13.04	6.67	13.09	12.99	0.01	1.18	1.21	11.66
1769	13.04	6.67	13.09	12.99	0.00	1.18	1.21	11.66
1774	13.04	6.67	13.09	12.99	0.01	1.19	1.21	11.64
1779	13.04	6.67	13.09	12.99	0.01	1.19	1.21	11.66
1784	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.65
1789	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.66
1794	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.65
1799	13.04	6.67	13.09	12.99	0.00	1.18	1.20	11.66
1804	13.04	6.67	13.09	12.99	0.01	1.18	1.20	11.65
1809	13.04	6.67	13.09	12.99	0.01	1.20	1.22	11.67
1814	13.04	6.67	13.09	12.99	0.00	1.18	1.21	11.65
1819	13.04	6.67	13.09	12.99	0.01	1.17	1.20	11.65
1824	13.04	6.67	13.09	12.99	0.01	1.13	1.18	11.65
1829	13.04	6.67	13.09	12.99	0.01	1.28	1.28	11.65
1834	13.04	6.67	13.09	12.99	0.01	1.17	1.17	11.65
1839	13.03	6.67	13.09	12.99	0.01	1.17	1.20	11.65
1844	13.04	6.67	13.09	13.00	0.00	1.15	1.16	11.64
1849	13.04	6.67	13.09	13.00	0.00	1.07	1.11	11.66
1854	13.04	6.67	13.09	13.00	0.01	1.08	1.12	11.65
1859	13.04	6.67	13.09	12.98	0.01	1.27	1.31	11.65
1864	13.04	6.67	13.09	12.99	0.00	1.28	1.27	11.64
1869	13.04	6.67	13.09	12.99	0.00	1.25	1.24	11.65
1874	13.04	6.67	13.09	12.99	0.01	1.19	1.19	11.64
1879	13.03	6.67	13.09	12.98	0.00	1.30	1.31	11.65
1884	13.04	6.67	13.09	12.99	0.01	1.27	1.27	11.65
1889	13.04	6.67	13.09	12.99	0.01	1.16	1.21	11.64
1894	13.03	6.67	13.09	12.98	0.01	1.27	1.30	11.65
1899	13.03	6.67	13.09	12.98	0.01	1.23	1.27	11.64
1904	13.04	6.67	13.09	13.00	0.00	1.07	1.12	11.64
1909	13.04	6.67	13.09	13.00	0.00	1.07	1.11	11.64
1914	13.04	6.67	13.09	12.98	0.00	1.24	1.27	11.64
1919	13.04	6.67	13.09	12.99	0.01	1.18	1.23	11.64
1924	13.04	6.67	13.09	13.00	0.01	1.10	1.13	11.64
1929	13.04	6.67	13.09	13.00	0.01	1.18	1.17	11.64
1934	13.04	6.67	13.09	13.00	0.00	1.09	1.13	11.65
1939	13.04	6.67	13.09	12.99	0.00	1.15	1.20	11.64
1944	13.04	6.67	13.09	12.99	0.00	1.17	1.20	11.64
1949	13.04	6.67	13.09	12.99	0.01	1.22	1.25	11.64
1954	13.04	6.67	13.09	12.98	0.00	1.25	1.28	11.64
1959	13.04	6.67	13.09	12.99	0.00	1.15	1.17	11.64
1964	13.03	6.67	13.09	12.99	0.01	1.20	1.25	11.64
1969	13.04	6.67	13.09	13.00	0.01	1.12	1.14	11.64
1974	13.04	6.67	13.09	12.99	0.01	1.14	1.18	11.64
1979	13.03	6.67	13.09	12.99	0.01	1.24	1.26	11.63
1984	13.04	6.67	13.09	12.99	0.00	1.16	1.19	11.63
1989	13.03	6.67	13.09	12.99	0.01	1.21	1.23	11.64
1994	13.04	6.67	13.09	13.00	0.01	1.10	1.13	11.64
1999	13.04	6.67	13.09	12.98	0.01	1.25	1.28	11.63
2004	13.04	6.67	13.09	12.99	0.01	1.23	1.24	11.62
